date,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality,fengxiang,fengli,bWendu,yWendu,tianqi
2018-01-01,57,34,63,9,44,1.0,38,84.0,良,东北风,1-2级,3℃,-6℃,晴~多云
2018-01-02,50,28,50,7,33,0.8,46,57.0,优,东北风,1-2级,2℃,-5℃,阴~多云
2018-01-03,28,11,28,5,21,0.4,51,11.0,优,北风,1-2级,2℃,-5℃,多云
2018-01-04,40,15,30,4,32,0.5,39,118.0,优,东北风,1-2级,0℃,-8℃,阴
2018-01-05,63,32,54,8,50,0.9,36,172.0,良,西北风,1-2级,3℃,-6℃,多云~晴
2018-01-06,48,16,30,5,38,0.5,48,131.0,优,西南风,1-2级,2℃,-5℃,多云~阴
2018-01-07,54,38,57,10,43,0.8,50,153.0,良,西南风,1-2级,2℃,-4℃,阴~多云
2018-01-08,55,12,60,4,11,0.3,61,117.0,良,西北风,4-5级,2℃,-6℃,晴
2018-01-09,35,7,35,3,13,0.3,63,17.0,优,西北风,3-4级,1℃,-8℃,晴
2018-01-10,32,6,21,3,9,0.3,63,20.0,优,西北风,1-2级,-2℃,-10℃,晴
2018-01-11,32,13,25,5,25,0.5,55,12.0,优,北风,1-2级,-1℃,-10℃,晴
2018-01-12,87,61,81,11,69,1.3,21,253.0,良,西南风,1-2级,2℃,-8℃,晴
2018-01-13,139,106,122,15,79,1.7,17,266.0,轻度污染,南风,1-2级,3℃,-7℃,多云
2018-01-14,176,133,137,12,71,1.7,41,292.0,中度污染,西北风,1-2级,6℃,-5℃,晴~多云
2018-01-15,59,32,58,8,47,0.9,42,82.0,良,东南风,1-2级,2℃,-5℃,阴
2018-01-16,114,45,177,5,42,0.7,55,186.0,轻度污染,南风,1-2级,4℃,-5℃,多云
2018-01-17,77,42,104,8,49,1.0,62,82.0,良,西北风,1-2级,6℃,-7℃,多云~晴
2018-01-18,93,63,105,11,74,1.2,19,148.0,良,西南风,1-2级,5℃,-6℃,晴
2018-01-19,108,81,122,13,73,1.5,36,164.0,轻度污染,南风,1-2级,7℃,-4℃,晴
2018-01-20,63,31,75,9,48,0.8,32,94.0,良,东风,1-2级,3℃,-6℃,晴~多云
2018-01-21,64,37,77,19,44,1.2,29,97.0,良,东北风,1-2级,0℃,-5℃,阴~小雪
2018-01-22,47,22,47,4,25,0.6,65,41.0,优,东风,1-2级,-3℃,-10℃,小雪~多云
2018-01-23,32,11,32,4,15,0.4,60,3.0,优,西北风,3-4级,-4℃,-12℃,晴
2018-01-24,35,17,33,5,28,0.4,65,30.0,优,西南风,1-2级,-4℃,-11℃,晴
2018-01-25,33,9,23,4,26,0.4,62,62.0,优,东北风,1-2级,-3℃,-11℃,多云
2018-01-26,53,29,41,8,42,0.6,42,170.0,良,南风,1-2级,-3℃,-10℃,晴~多云
2018-01-27,112,84,95,14,67,1.4,14,288.0,轻度污染,南风,1-2级,-1℃,-9℃,多云
2018-01-28,59,11,67,3,15,0.4,66,133.0,良,西北风,3-4级,-1℃,-9℃,晴
2018-01-29,56,8,61,3,20,0.4,67,103.0,良,西北风,1-2级,1℃,-8℃,晴
2018-01-30,36,11,36,6,24,0.4,68,15.0,优,西北风,1-2级,4℃,-7℃,晴
2018-01-31,62,22,74,7,29,0.5,65,96.0,良,西南风,1-2级,3℃,-8℃,晴
2018-02-01,68,30,85,10,36,0.7,64,64.0,良,北风,1-2级,4℃,-7℃,多云
2018-02-02,34,8,30,5,11,0.3,68,13.0,优,北风,3-4级,-1℃,-9℃,晴
2018-02-03,32,8,21,5,20,0.4,64,7.0,优,北风,1-2级,0℃,-9℃,多云
2018-02-04,40,19,36,8,32,0.5,55,17.0,优,西南风,1-2级,1℃,-8℃,晴
2018-02-05,34,7,18,3,15,0.3,67,11.0,优,北风,3-4级,0℃,-10℃,晴
2018-02-06,65,47,61,13,51,0.9,43,144.0,良,西南风,1-2级,3℃,-7℃,多云~阴
2018-02-07,51,33,52,8,31,0.6,76,28.0,良,北风,4-5级,2℃,-10℃,多云~晴
2018-02-08,73,53,76,12,53,0.9,49,106.0,良,南风,3-4级,3℃,-7℃,多云
2018-02-09,80,40,109,8,32,0.7,74,158.0,良,西北风,4-5级,4℃,-9℃,多云
2018-02-10,44,10,44,3,12,0.3,74,59.0,优,西北风,3-4级,1℃,-9℃,晴
2018-02-11,67,9,84,2,6,0.3,73,131.0,良,西北风,4-5级,0℃,-9℃,晴
2018-02-12,53,12,56,4,15,0.4,73,60.0,良,西北风,1-2级,5℃,-7℃,晴
2018-02-13,79,58,79,13,57,1.1,50,180.0,良,西风,1-2级,8℃,-4℃,晴~多云
2018-02-14,37,13,33,3,18,0.4,74,14.0,优,北风,1-2级,6℃,-6℃,多云
2018-02-15,73,53,66,10,22,0.5,80,130.0,良,西南风,1-2级,5℃,-5℃,多云
2018-02-16,107,80,101,14,24,0.6,85,136.0,轻度污染,西南风,1-2级,8℃,-5℃,晴~多云
2018-02-17,109,82,92,10,35,1.3,49,216.0,轻度污染,南风,1-2级,5℃,-4℃,多云~阴
2018-02-18,152,116,109,14,46,1.7,80,302.0,中度污染,南风,1-2级,8℃,-3℃,多云
2018-02-19,188,141,131,24,42,2.0,69,320.0,中度污染,南风,1-2级,6℃,-3℃,多云
2018-02-20,63,45,42,6,21,0.7,85,178.0,良,北风,1-2级,5℃,-5℃,晴
2018-02-21,48,33,43,6,26,0.6,81,106.0,优,南风,1-2级,8℃,-4℃,晴
2018-02-22,45,18,45,6,29,0.5,77,106.0,优,西南风,1-2级,9℃,-4℃,多云
2018-02-23,52,23,54,6,29,0.6,79,123.0,良,东北风,1-2级,10℃,-4℃,多云
2018-02-24,62,30,74,10,21,0.6,65,194.0,良,南风,1-2级,3℃,-6℃,多云~晴
2018-02-25,82,60,71,10,43,0.8,66,228.0,良,西南风,1-2级,6℃,-4℃,多云
2018-02-26,162,123,121,21,69,1.5,86,311.0,中度污染,西南风,1-2级,12℃,-1℃,晴~多云
2018-02-27,218,168,170,12,51,1.8,66,323.0,重度污染,东风,1-2级,7℃,0℃,阴
2018-02-28,115,87,116,9,34,1.0,74,269.0,轻度污染,西南风,3-4级,9℃,-2℃,多云~晴
2018-03-01,50,17,50,4,17,0.3,80,70.0,优,西南风,1-2级,8℃,-3℃,多云
2018-03-02,103,77,103,18,51,1.0,65,301.0,轻度污染,北风,1-2级,9℃,-1℃,晴~多云
2018-03-03,215,165,189,18,72,1.8,52,333.0,重度污染,北风,1-2级,13℃,3℃,多云~阴
2018-03-04,124,57,198,7,35,0.8,46,324.0,轻度污染,东南风,1-2级,7℃,-2℃,阴~多云
2018-03-05,90,48,130,9,41,0.8,65,318.0,良,南风,1-2级,8℃,-3℃,晴
2018-03-06,64,46,65,10,38,0.9,64,235.0,良,东南风,3-4级,6℃,-3℃,多云~阴
2018-03-07,65,47,64,8,47,0.7,44,222.0,良,北风,1-2级,6℃,-2℃,阴~多云
2018-03-08,61,43,72,6,34,0.7,70,189.0,良,东北风,1-2级,8℃,-4℃,晴
2018-03-09,135,103,106,12,66,1.2,73,319.0,轻度污染,西南风,1-2级,10℃,-2℃,多云
2018-03-10,153,117,125,14,58,1.4,101,316.0,中度污染,东南风,1-2级,14℃,-2℃,晴
2018-03-11,84,62,69,16,45,1.3,59,210.0,良,南风,1-2级,11℃,0℃,多云
2018-03-12,189,142,137,10,69,1.6,84,322.0,中度污染,南风,1-2级,15℃,3℃,多云~晴
2018-03-13,283,233,189,10,92,2.0,139,334.0,重度污染,南风,1-2级,17℃,5℃,晴~多云
2018-03-14,276,226,176,16,73,2.4,78,337.0,重度污染,东北风,1-2级,15℃,6℃,多云~阴
2018-03-15,61,20,72,3,16,0.4,87,180.0,良,东北风,3-4级,12℃,-1℃,多云~晴
2018-03-16,55,32,60,7,28,0.5,87,151.0,良,南风,1-2级,10℃,-1℃,多云
2018-03-17,83,61,60,4,57,0.9,27,291.0,良,南风,1-2级,4℃,0℃,小雨~阴
2018-03-18,135,103,71,3,51,0.9,81,326.0,轻度污染,西南风,1-2级,13℃,1℃,多云~晴
2018-03-19,93,69,59,4,43,0.8,88,276.0,良,东风,1-2级,13℃,2℃,多云
2018-03-20,40,23,39,4,32,0.5,80,72.0,优,南风,1-2级,10℃,-2℃,多云
2018-03-21,79,58,82,8,51,0.8,68,285.0,良,西南风,1-2级,11℃,1℃,多云
2018-03-22,110,83,100,7,61,0.9,88,316.0,轻度污染,西南风,1-2级,17℃,4℃,晴~多云
2018-03-23,138,105,126,10,82,1.3,59,308.0,轻度污染,北风,1-2级,18℃,5℃,多云
2018-03-24,117,88,99,9,58,1.1,108,296.0,轻度污染,西南风,1-2级,22℃,5℃,晴
2018-03-25,74,54,89,7,54,0.6,117,155.0,良,南风,1-2级,24℃,7℃,晴
2018-03-26,150,115,133,12,70,1.0,129,329.0,轻度污染,西南风,1-2级,25℃,7℃,多云
2018-03-27,233,183,182,11,94,1.3,109,334.0,重度污染,南风,1-2级,27℃,11℃,晴
2018-03-28,0,0,0,6,47,0.8,69,1.0,无,东风,1-2级,25℃,9℃,多云~晴
2018-03-29,107,37,164,12,42,0.8,80,305.0,轻度污染,南风,1-2级,19℃,7℃,晴
2018-03-30,66,39,81,7,50,0.6,96,132.0,良,南风,1-2级,18℃,8℃,多云
2018-03-31,128,97,146,12,77,1.0,110,310.0,轻度污染,南风,1-2级,23℃,9℃,多云~晴
2018-04-01,213,163,198,14,74,1.4,185,338.0,重度污染,南风,1-2级,25℃,11℃,晴~多云
2018-04-02,256,206,225,9,63,1.6,143,338.0,重度污染,北风,1-2级,26℃,11℃,多云
2018-04-03,69,12,87,2,15,0.2,80,168.0,良,东北风,3-4级,14℃,6℃,多云~阴
2018-04-04,39,22,20,2,31,0.4,59,64.0,优,东北风,1-2级,10℃,1℃,小雨~雨夹雪
2018-04-05,73,50,95,2,25,0.5,42,258.0,良,西南风,1-2级,10℃,3℃,多云
2018-04-06,59,14,68,2,8,0.2,83,137.0,良,北风,4-5级,11℃,4℃,多云~晴
2018-04-07,47,18,47,4,22,0.3,89,27.0,优,西北风,3-4级,12℃,2℃,多云~晴
2018-04-08,66,38,82,6,45,0.5,82,108.0,良,西南风,1-2级,18℃,5℃,晴
2018-04-09,108,81,118,20,59,1.3,105,312.0,轻度污染,南风,1-2级,20℃,7℃,晴~多云
