time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2021-06-01,70,15,36,3,20,0.5,123,48,良
2021-06-02,52,21,49,2,26,0.6,102,137,良
2021-06-03,42,3,23,2,16,0.2,84,117,优
2021-06-04,46,6,30,2,20,0.3,92,189,优
2021-06-05,50,7,25,3,19,0.2,99,96,优
2021-06-06,97,12,43,3,22,0.4,156,44,良
2021-06-07,97,21,47,3,18,0.6,156,156,良
2021-06-08,144,28,56,2,17,0.7,208,99,轻度污染
2021-06-09,53,26,54,2,20,0.7,103,266,良
2021-06-10,89,9,25,2,16,0.4,146,49,良
2021-06-11,102,15,47,2,31,0.4,162,222,轻度污染
2021-06-12,191,32,81,4,30,0.6,256,242,中度污染
2021-06-13,149,43,91,3,21,1.0,213,323,轻度污染
2021-06-14,49,22,32,3,13,0.9,98,181,优
2021-06-15,118,22,37,2,13,0.7,179,279,轻度污染
2021-06-16,36,19,33,2,18,0.6,71,244,优
2021-06-17,50,7,27,3,16,0.4,99,103,优
2021-06-18,45,5,26,3,19,0.2,89,217,优
2021-06-19,50,8,34,3,23,0.3,99,232,优
2021-06-20,62,10,37,3,24,0.2,114,225,良
2021-06-21,122,18,66,4,24,0.5,184,285,轻度污染
2021-06-22,117,15,45,3,17,0.5,178,183,轻度污染
2021-06-23,65,18,34,2,20,0.4,117,117,良
2021-06-24,87,24,47,2,25,0.6,144,71,良
2021-06-25,80,30,49,3,17,0.8,135,253,良
2021-06-26,87,21,41,3,14,0.7,144,136,良
2021-06-27,120,26,49,3,15,0.7,181,268,轻度污染
2021-06-28,123,32,55,3,16,0.8,185,296,轻度污染
2021-06-29,61,26,41,3,12,0.6,113,258,良
2021-06-30,91,14,28,3,10,0.5,149,143,良
