ymd,bWendu,yWendu,tianqi,fengxiang,fengli
2018-01-01,3℃,-6℃,晴~多云,东北风,1-2级
2018-01-02,2℃,-5℃,阴~多云,东北风,1-2级
2018-01-03,2℃,-5℃,多云,北风,1-2级
2018-01-04,0℃,-8℃,阴,东北风,1-2级
2018-01-05,3℃,-6℃,多云~晴,西北风,1-2级
2018-01-06,2℃,-5℃,多云~阴,西南风,1-2级
2018-01-07,2℃,-4℃,阴~多云,西南风,1-2级
2018-01-08,2℃,-6℃,晴,西北风,4-5级
2018-01-09,1℃,-8℃,晴,西北风,3-4级
2018-01-10,-2℃,-10℃,晴,西北风,1-2级
2018-01-11,-1℃,-10℃,晴,北风,1-2级
2018-01-12,2℃,-8℃,晴,西南风,1-2级
2018-01-13,3℃,-7℃,多云,南风,1-2级
2018-01-14,6℃,-5℃,晴~多云,西北风,1-2级
2018-01-15,2℃,-5℃,阴,东南风,1-2级
2018-01-16,4℃,-5℃,多云,南风,1-2级
2018-01-17,6℃,-7℃,多云~晴,西北风,1-2级
2018-01-18,5℃,-6℃,晴,西南风,1-2级
2018-01-19,7℃,-4℃,晴,南风,1-2级
2018-01-20,3℃,-6℃,晴~多云,东风,1-2级
2018-01-21,0℃,-5℃,阴~小雪,东北风,1-2级
2018-01-22,-3℃,-10℃,小雪~多云,东风,1-2级
2018-01-23,-4℃,-12℃,晴,西北风,3-4级
2018-01-24,-4℃,-11℃,晴,西南风,1-2级
2018-01-25,-3℃,-11℃,多云,东北风,1-2级
2018-01-26,-3℃,-10℃,晴~多云,南风,1-2级
2018-01-27,-1℃,-9℃,多云,南风,1-2级
2018-01-28,-1℃,-9℃,晴,西北风,3-4级
2018-01-29,1℃,-8℃,晴,西北风,1-2级
2018-01-30,4℃,-7℃,晴,西北风,1-2级
2018-01-31,3℃,-8℃,晴,西南风,1-2级
2018-02-01,4℃,-7℃,多云,北风,1-2级
2018-02-02,-1℃,-9℃,晴,北风,3-4级
2018-02-03,0℃,-9℃,多云,北风,1-2级
2018-02-04,1℃,-8℃,晴,西南风,1-2级
2018-02-05,0℃,-10℃,晴,北风,3-4级
2018-02-06,3℃,-7℃,多云~阴,西南风,1-2级
2018-02-07,2℃,-10℃,多云~晴,北风,4-5级
2018-02-08,3℃,-7℃,多云,南风,3-4级
2018-02-09,4℃,-9℃,多云,西北风,4-5级
2018-02-10,1℃,-9℃,晴,西北风,3-4级
2018-02-11,0℃,-9℃,晴,西北风,4-5级
2018-02-12,5℃,-7℃,晴,西北风,1-2级
2018-02-13,8℃,-4℃,晴~多云,西风,1-2级
2018-02-14,6℃,-6℃,多云,北风,1-2级
2018-02-15,5℃,-5℃,多云,西南风,1-2级
2018-02-16,8℃,-5℃,晴~多云,西南风,1-2级
2018-02-17,5℃,-4℃,多云~阴,南风,1-2级
2018-02-18,8℃,-3℃,多云,南风,1-2级
2018-02-19,6℃,-3℃,多云,南风,1-2级
2018-02-20,5℃,-5℃,晴,北风,1-2级
2018-02-21,8℃,-4℃,晴,南风,1-2级
2018-02-22,9℃,-4℃,多云,西南风,1-2级
2018-02-23,10℃,-4℃,多云,东北风,1-2级
2018-02-24,3℃,-6℃,多云~晴,南风,1-2级
2018-02-25,6℃,-4℃,多云,西南风,1-2级
2018-02-26,12℃,-1℃,晴~多云,西南风,1-2级
2018-02-27,7℃,0℃,阴,东风,1-2级
2018-02-28,9℃,-2℃,多云~晴,西南风,3-4级
2018-03-01,8℃,-3℃,多云,西南风,1-2级
2018-03-02,9℃,-1℃,晴~多云,北风,1-2级
2018-03-03,13℃,3℃,多云~阴,北风,1-2级
2018-03-04,7℃,-2℃,阴~多云,东南风,1-2级
2018-03-05,8℃,-3℃,晴,南风,1-2级
2018-03-06,6℃,-3℃,多云~阴,东南风,3-4级
2018-03-07,6℃,-2℃,阴~多云,北风,1-2级
2018-03-08,8℃,-4℃,晴,东北风,1-2级
2018-03-09,10℃,-2℃,多云,西南风,1-2级
2018-03-10,14℃,-2℃,晴,东南风,1-2级
2018-03-11,11℃,0℃,多云,南风,1-2级
2018-03-12,15℃,3℃,多云~晴,南风,1-2级
2018-03-13,17℃,5℃,晴~多云,南风,1-2级
2018-03-14,15℃,6℃,多云~阴,东北风,1-2级
2018-03-15,12℃,-1℃,多云~晴,东北风,3-4级
2018-03-16,10℃,-1℃,多云,南风,1-2级
2018-03-17,4℃,0℃,小雨~阴,南风,1-2级
2018-03-18,13℃,1℃,多云~晴,西南风,1-2级
2018-03-19,13℃,2℃,多云,东风,1-2级
2018-03-20,10℃,-2℃,多云,南风,1-2级
2018-03-21,11℃,1℃,多云,西南风,1-2级
2018-03-22,17℃,4℃,晴~多云,西南风,1-2级
2018-03-23,18℃,5℃,多云,北风,1-2级
2018-03-24,22℃,5℃,晴,西南风,1-2级
2018-03-25,24℃,7℃,晴,南风,1-2级
2018-03-26,25℃,7℃,多云,西南风,1-2级
2018-03-27,27℃,11℃,晴,南风,1-2级
2018-03-28,25℃,9℃,多云~晴,东风,1-2级
2018-03-29,19℃,7℃,晴,南风,1-2级
2018-03-30,18℃,8℃,多云,南风,1-2级
2018-03-31,23℃,9℃,多云~晴,南风,1-2级
2018-04-01,25℃,11℃,晴~多云,南风,1-2级
2018-04-02,26℃,11℃,多云,北风,1-2级
2018-04-03,14℃,6℃,多云~阴,东北风,3-4级
2018-04-04,10℃,1℃,小雨~雨夹雪,东北风,1-2级
2018-04-05,10℃,3℃,多云,西南风,1-2级
2018-04-06,11℃,4℃,多云~晴,北风,4-5级
2018-04-07,12℃,2℃,多云~晴,西北风,3-4级
2018-04-08,18℃,5℃,晴,西南风,1-2级
2018-04-09,20℃,7℃,晴~多云,南风,1-2级
2018-04-10,24℃,8℃,多云~晴,西北风,4-5级
2018-04-11,23℃,9℃,晴,西南风,3-4级
2018-04-12,22℃,7℃,多云~小雨,东南风,1-2级
2018-04-13,11℃,6℃,小雨~多云,东南风,1-2级
2018-04-14,19℃,5℃,多云~晴,北风,4-5级
2018-04-15,21℃,8℃,晴,西南风,1-2级
2018-04-16,23℃,12℃,晴~多云,南风,1-2级
2018-04-17,25℃,12℃,多云~晴,南风,1-2级
2018-04-18,27℃,14℃,多云~晴,西南风,3-4级
